time,f_inst_Hz
4.3700,0.663875
4.3800,0.664250
4.3900,0.664625
4.4000,0.665000
4.4100,0.665375
4.4200,0.665750
4.4300,0.666125
4.4400,0.666500
4.4500,0.666875
4.4600,0.667250
4.4700,0.667625
4.4800,0.668000
4.4900,0.668375
4.5000,0.668750
4.5100,0.669125
4.5200,0.669500
4.5300,0.669875
4.5400,0.670250
4.5500,0.670625
4.5600,0.671000
4.5700,0.671375
4.5800,0.671750
4.5900,0.672125
4.6000,0.672500
4.6100,0.672875
4.6200,0.673250
4.6300,0.673625
4.6400,0.674000
4.6500,0.674375
4.6600,0.674750
4.6700,0.675125
4.6800,0.675500
4.6900,0.675875
4.7000,0.676250
4.7100,0.676625
4.7200,0.677000
4.7300,0.677375
4.7400,0.677750
4.7500,0.678125
4.7600,0.678500
4.7700,0.678875
4.7800,0.679250
4.7900,0.679625
4.8000,0.680000
4.8100,0.680375
4.8200,0.680750
4.8300,0.681125
4.8400,0.681500
4.8500,0.681875
4.8600,0.682250
4.8700,0.682625
4.8800,0.683000
4.8900,0.683375
4.9000,0.683750
4.9100,0.684125
4.9200,0.684500
4.9300,0.684875
4.9400,0.685250
4.9500,0.685625
4.9600,0.686000
4.9700,0.686375
4.9800,0.686750
4.9900,0.687125
5.0000,0.687500
5.0100,0.687875
5.0200,0.688250
5.0300,0.688625
5.0400,0.689000
5.0500,0.689375
5.0600,0.689750
5.0700,0.690125
5.0800,0.690500
5.0900,0.690875
5.1000,0.691250
5.1100,0.691625
5.1200,0.692000
5.1300,0.692375
5.1400,0.692750
5.1500,0.693125
5.1600,0.693500
5.1700,0.693875
5.1800,0.694250
5.1900,0.694625
5.2000,0.695000
5.2100,0.695375
5.2200,0.695750
5.2300,0.696125
5.2400,0.696500
5.2500,0.696875
5.2600,0.697250
5.2700,0.697625
5.2800,0.698000
5.2900,0.698375
5.3000,0.698750
5.3100,0.699125
5.3200,0.699500
5.3300,0.699875
5.3400,0.700250
5.3500,0.700625
5.3600,0.701000
5.3700,0.701375
5.3800,0.701750
5.3900,0.702125
5.4000,0.702500
5.4100,0.702875
5.4200,0.703250
5.4300,0.703625
5.4400,0.704000
5.4500,0.704375
5.4600,0.704750
5.4700,0.705125
5.4800,0.705500
5.4900,0.705875
5.5000,0.706250
5.5100,0.706625
5.5200,0.707000
5.5300,0.707375
5.5400,0.707750
5.5500,0.708125
5.5600,0.708500
5.5700,0.708875
5.5800,0.709250
5.5900,0.709625
5.6000,0.710000
5.6100,0.710375
5.6200,0.710750
5.6300,0.711125
5.6400,0.711500
5.6500,0.711875
5.6600,0.712250
5.6700,0.712625
5.6800,0.713000
5.6900,0.713375
5.7000,0.713750
5.7100,0.714125
5.7200,0.714500
5.7300,0.714875
5.7400,0.715250
5.7500,0.715625
5.7600,0.716000
5.7700,0.716375
5.7800,0.716750
5.7900,0.717125
5.8000,0.717500
5.8100,0.717875
5.8200,0.718250
5.8300,0.718625
5.8400,0.719000
5.8500,0.719375
5.8600,0.719750
5.8700,0.720125
5.8800,0.720500
5.8900,0.720875
5.9000,0.721250
5.9100,0.721625
5.9200,0.722000
5.9300,0.722375
5.9400,0.722750
5.9500,0.723125
5.9600,0.723500
5.9700,0.723875
5.9800,0.724250
5.9900,0.724625
6.0000,0.725000
6.0100,0.725375
6.0200,0.725750
6.0300,0.726125
6.0400,0.726500
6.0500,0.726875
6.0600,0.727250
6.0700,0.727625
6.0800,0.728000
6.0900,0.728375
6.1000,0.728750
6.1100,0.729125
6.1200,0.729500
6.1300,0.729875
6.1400,0.730250
6.1500,0.730625
6.1600,0.731000
6.1700,0.731375
6.1800,0.731750
6.1900,0.732125
6.2000,0.732500
6.2100,0.732875
6.2200,0.733250
6.2300,0.733625
6.2400,0.734000
6.2500,0.734375
6.2600,0.734750
6.2700,0.735125
6.2800,0.735500
6.2900,0.735875
6.3000,0.736250
6.3100,0.736625
6.3200,0.737000
6.3300,0.737375
6.3400,0.737750
6.3500,0.738125
6.3600,0.738500
6.3700,0.738875
6.3800,0.739250
6.3900,0.739625
6.4000,0.740000
6.4100,0.740375
6.4200,0.740750
6.4300,0.741125
6.4400,0.741500
6.4500,0.741875
6.4600,0.742250
6.4700,0.742625
6.4800,0.743000
6.4900,0.743375
6.5000,0.743750
6.5100,0.744125
6.5200,0.744500
6.5300,0.744875
6.5400,0.745250
6.5500,0.745625
6.5600,0.746000
6.5700,0.746375
6.5800,0.746750
6.5900,0.747125
6.6000,0.747500
6.6100,0.747875
6.6200,0.748250
6.6300,0.748625
6.6400,0.749000
6.6500,0.749375
6.6600,0.749750
6.6700,0.750125
6.6800,0.750500
6.6900,0.750875
6.7000,0.751250
6.7100,0.751625
6.7200,0.752000
6.7300,0.752375
6.7400,0.752750
6.7500,0.753125
6.7600,0.753500
6.7700,0.753875
6.7800,0.754250
6.7900,0.754625
6.8000,0.755000
6.8100,0.755375
6.8200,0.755750
6.8300,0.756125
6.8400,0.756500
6.8500,0.756875
6.8600,0.757250
6.8700,0.757625
6.8800,0.758000
6.8900,0.758375
6.9000,0.758750
6.9100,0.759125
6.9200,0.759500
6.9300,0.759875
6.9400,0.760250
6.9500,0.760625
6.9600,0.761000
6.9700,0.761375
6.9800,0.761750
6.9900,0.762125
7.0000,0.762500
7.0100,0.762875
7.0200,0.763250
7.0300,0.763625
7.0400,0.764000
7.0500,0.764375
7.0600,0.764750
7.0700,0.765125
7.0800,0.765500
7.0900,0.765875
7.1000,0.766250
7.1100,0.766625
7.1200,0.767000
7.1300,0.767375
7.1400,0.767750
7.1500,0.768125
7.1600,0.768500
7.1700,0.768875
7.1800,0.769250
7.1900,0.769625
7.2000,0.770000
7.2100,0.770375
7.2200,0.770750
7.2300,0.771125
7.2400,0.771500
7.2500,0.771875
7.2600,0.772250
7.2700,0.772625
7.2800,0.773000
7.2900,0.773375
7.3000,0.773750
7.3100,0.774125
7.3200,0.774500
7.3300,0.774875
7.3400,0.775250
7.3500,0.775625
7.3600,0.776000
7.3700,0.776375
7.3800,0.776750
7.3900,0.777125
7.4000,0.777500
7.4100,0.777875
7.4200,0.778250
7.4300,0.778625
7.4400,0.779000
7.4500,0.779375
7.4600,0.779750
7.4700,0.780125
7.4800,0.780500
7.4900,0.780875
7.5000,0.781250
7.5100,0.781625
7.5200,0.782000
7.5300,0.782375
7.5400,0.782750
7.5500,0.783125
7.5600,0.783500
7.5700,0.783875
7.5800,0.784250
7.5900,0.784625
7.6000,0.785000
7.6100,0.785375
7.6200,0.785750
7.6300,0.786125
7.6400,0.786500
7.6500,0.786875
7.6600,0.787250
7.6700,0.787625
7.6800,0.788000
7.6900,0.788375
7.7000,0.788750
7.7100,0.789125
7.7200,0.789500
7.7300,0.789875
7.7400,0.790250
7.7500,0.790625
7.7600,0.791000
7.7700,0.791375
7.7800,0.791750
7.7900,0.792125
7.8000,0.792500
7.8100,0.792875
7.8200,0.793250
7.8300,0.793625
7.8400,0.794000
7.8500,0.794375
7.8600,0.794750
7.8700,0.795125
7.8800,0.795500
7.8900,0.795875
7.9000,0.796250
7.9100,0.796625
7.9200,0.797000
7.9300,0.797375
7.9400,0.797750
7.9500,0.798125
7.9600,0.798500
7.9700,0.798875
7.9800,0.799250
7.9900,0.799625
8.0000,0.800000
8.0100,0.800375
8.0200,0.800750
8.0300,0.801125
8.0400,0.801500
8.0500,0.801875
8.0600,0.802250
8.0700,0.802625
8.0800,0.803000
8.0900,0.803375
8.1000,0.803750
8.1100,0.804125
8.1200,0.804500
8.1300,0.804875
8.1400,0.805250
8.1500,0.805625
8.1600,0.806000
8.1700,0.806375
8.1800,0.806750
8.1900,0.807125
8.2000,0.807500
8.2100,0.807875
8.2200,0.808250
8.2300,0.808625
8.2400,0.809000
8.2500,0.809375
8.2600,0.809750
8.2700,0.810125
8.2800,0.810500
8.2900,0.810875
8.3000,0.811250
8.3100,0.811625
8.3200,0.812000
8.3300,0.812375
8.3400,0.812750
8.3500,0.813125
8.3600,0.813500
8.3700,0.813875
8.3800,0.814250
8.3900,0.814625
8.4000,0.815000
8.4100,0.815375
8.4200,0.815750
8.4300,0.816125
8.4400,0.816500
8.4500,0.816875
8.4600,0.817250
8.4700,0.817625
8.4800,0.818000
8.4900,0.818375
8.5000,0.818750
8.5100,0.819125
8.5200,0.819500
8.5300,0.819875
8.5400,0.820250
8.5500,0.820625
8.5600,0.821000
8.5700,0.821375
8.5800,0.821750
8.5900,0.822125
8.6000,0.822500
8.6100,0.822875
8.6200,0.823250
8.6300,0.823625
8.6400,0.824000
8.6500,0.824375
8.6600,0.824750
8.6700,0.825125
8.6800,0.825500
8.6900,0.825875
8.7000,0.826250
8.7100,0.826625
8.7200,0.827000
8.7300,0.827375
8.7400,0.827750
8.7500,0.828125
8.7600,0.828500
8.7700,0.828875
8.7800,0.829250
8.7900,0.829625
8.8000,0.830000
8.8100,0.830375
8.8200,0.830750
8.8300,0.831125
8.8400,0.831500
8.8500,0.831875
8.8600,0.832250
8.8700,0.832625
8.8800,0.833000
8.8900,0.833375
8.9000,0.833750
8.9100,0.834125
8.9200,0.834500
8.9300,0.834875
8.9400,0.835250
8.9500,0.835625
8.9600,0.836000
8.9700,0.836375
8.9800,0.836750
8.9900,0.837125
9.0000,0.837500
9.0100,0.837875
9.0200,0.838250
9.0300,0.838625
9.0400,0.839000
9.0500,0.839375
9.0600,0.839750
9.0700,0.840125
9.0800,0.840500
9.0900,0.840875
9.1000,0.841250
9.1100,0.841625
9.1200,0.842000
9.1300,0.842375
9.1400,0.842750
9.1500,0.843125
9.1600,0.843500
9.1700,0.843875
9.1800,0.844250
9.1900,0.844625
9.2000,0.845000
9.2100,0.845375
9.2200,0.845750
9.2300,0.846125
9.2400,0.846500
9.2500,0.846875
9.2600,0.847250
9.2700,0.847625
9.2800,0.848000
9.2900,0.848375
9.3000,0.848750
9.3100,0.849125
9.3200,0.849500
9.3300,0.849875
9.3400,0.850250
9.3500,0.850625
9.3600,0.851000
9.3700,0.851375
9.3800,0.851750
9.3900,0.852125
9.4000,0.852500
9.4100,0.852875
9.4200,0.853250
9.4300,0.853625
9.4400,0.854000
9.4500,0.854375
9.4600,0.854750
9.4700,0.855125
9.4800,0.855500
9.4900,0.855875
9.5000,0.856250
9.5100,0.856625
9.5200,0.857000
9.5300,0.857375
9.5400,0.857750
9.5500,0.858125
9.5600,0.858500
9.5700,0.858875
9.5800,0.859250
9.5900,0.859625
9.6000,0.860000
9.6100,0.860375
9.6200,0.860750
9.6300,0.861125
9.6400,0.861500
9.6500,0.861875
9.6600,0.862250
9.6700,0.862625
9.6800,0.863000
9.6900,0.863375
9.7000,0.863750
9.7100,0.864125
9.7200,0.864500
9.7300,0.864875
9.7400,0.865250
9.7500,0.865625
9.7600,0.866000
9.7700,0.866375
9.7800,0.866750
9.7900,0.867125
9.8000,0.867500
9.8100,0.867875
9.8200,0.868250
9.8300,0.868625
9.8400,0.869000
9.8500,0.869375
9.8600,0.869750
9.8700,0.870125
9.8800,0.870500
9.8900,0.870875
9.9000,0.871250
9.9100,0.871625
9.9200,0.872000
9.9300,0.872375
9.9400,0.872750
9.9500,0.873125
9.9600,0.873500
9.9700,0.873875
9.9800,0.874250
9.9900,0.874625
10.0000,0.875000
10.0100,0.875375
10.0200,0.875750
10.0300,0.876125
10.0400,0.876500
10.0500,0.876875
10.0600,0.877250
10.0700,0.877625
10.0800,0.878000
10.0900,0.878375
10.1000,0.878750
10.1100,0.879125
10.1200,0.879500
10.1300,0.879875
10.1400,0.880250
10.1500,0.880625
10.1600,0.881000
10.1700,0.881375
10.1800,0.881750
10.1900,0.882125
10.2000,0.882500
10.2100,0.882875
10.2200,0.883250
10.2300,0.883625
10.2400,0.884000
10.2500,0.884375
10.2600,0.884750
10.2700,0.885125
10.2800,0.885500
10.2900,0.885875
10.3000,0.886250
10.3100,0.886625
10.3200,0.887000
10.3300,0.887375
10.3400,0.887750
10.3500,0.888125
10.3600,0.888500
10.3700,0.888875
10.3800,0.889250
10.3900,0.889625
10.4000,0.890000
10.4100,0.890375
10.4200,0.890750
10.4300,0.891125
10.4400,0.891500
10.4500,0.891875
10.4600,0.892250
10.4700,0.892625
10.4800,0.893000
10.4900,0.893375
10.5000,0.893750
10.5100,0.894125
10.5200,0.894500
10.5300,0.894875
10.5400,0.895250
10.5500,0.895625
10.5600,0.896000
10.5700,0.896375
10.5800,0.896750
10.5900,0.897125
10.6000,0.897500
10.6100,0.897875
10.6200,0.898250
10.6300,0.898625
10.6400,0.899000
10.6500,0.899375
10.6600,0.899750
10.6700,0.900125
10.6800,0.900500
10.6900,0.900875
10.7000,0.901250
10.7100,0.901625
10.7200,0.902000
10.7300,0.902375
10.7400,0.902750
10.7500,0.903125
10.7600,0.903500
10.7700,0.903875
10.7800,0.904250
10.7900,0.904625
10.8000,0.905000
10.8100,0.905375
10.8200,0.905750
10.8300,0.906125
10.8400,0.906500
10.8500,0.906875
10.8600,0.907250
10.8700,0.907625
10.8800,0.908000
10.8900,0.908375
10.9000,0.908750
10.9100,0.909125
10.9200,0.909500
10.9300,0.909875
10.9400,0.910250
10.9500,0.910625
10.9600,0.911000
10.9700,0.911375
10.9800,0.911750
10.9900,0.912125
11.0000,0.912500
11.0100,0.912875
11.0200,0.913250
11.0300,0.913625
